"","Var_Type","n","nmiss","mean","std","var","min","p1.1%","p5.5%","p10.10%","q1.25%","q2.50%","q3.75%","p90.90%","p95.95%","p99.99%","max","ot_m1","ot_m2.99%","ot_m2.75%","IQR","UC1","LC1"
"RETCALLS","numeric","71047","0","0.0370036736245021","0.205822590325237","0.0423629386881905","0","0","0","0","0","0","0","0","0","1","4","TRUE","TRUE","TRUE","0","0.654471444600214","-0.58046409735121"
"RETACCPT","numeric","71047","0","0.017917716441229","0.141484579570968","0.0200178862563735","0","0","0","0","0","0","0","0","0","1","4","TRUE","TRUE","TRUE","0","0.442371455154133","-0.406536022271675"
"NEWCELLY","numeric","71047","0","0.192942699902881","0.394611208935503","0.155718006217539","0","0","0","0","0","0","0","1","1","1","1","FALSE","FALSE","TRUE","0","1.37677632670939","-0.990890926903628"
"NEWCELLN","numeric","71047","0","0.138781370078962","0.345720672948289","0.119522783703818","0","0","0","0","0","0","0","1","1","1","1","FALSE","FALSE","TRUE","0","1.17594338892383","-0.898380648765905"
"REFER","numeric","71047","0","0.0508536602530719","0.290443693573634","0.0843575391366953","0","0","0","0","0","0","0","0","0","1","35","TRUE","TRUE","TRUE","0","0.922184740973975","-0.820477420467831"
"INCMISS","numeric","71047","0","0.249834616521458","0.432920222304224","0.187419918879939","0","0","0","0","0","0","0","1","1","1","1","FALSE","FALSE","TRUE","0","1.54859528343413","-1.04892605039121"
"INCOME","numeric","71047","0","4.33422945374189","3.13706306943646","9.84116470162212","0","0","0","0","1","5","7","9","9","9","9","FALSE","FALSE","FALSE","6","13.7454186620513","-5.0769597545675"
"MCYCLE","numeric","71047","0","0.0134558813180008","0.115217218436325","0.0132750074242039","0","0","0","0","0","0","0","0","0","1","1","TRUE","FALSE","TRUE","0","0.359107536626977","-0.332195773990975"
"CREDITAD","numeric","71047","0","0.0531619913578335","0.374988052782716","0.140616039729773","0","0","0","0","0","0","0","0","0","1","25","TRUE","TRUE","TRUE","0","1.17812614970598","-1.07180216699031"
"SETPRCM","numeric","71047","0","0.56651230875336","0.495559854470995","0.245579569363314","0","0","0","0","0","1","1","1","1","1","1","FALSE","FALSE","FALSE","1","2.05319187216635","-0.920167254659625"
"SETPRC","numeric","71047","0","35.7985843174237","57.0409643621815","3253.67161536766","0","0","0","0","0","0","39.99","149.99","149.99","199.99","499.99","TRUE","TRUE","TRUE","39.99","206.921477403968","-135.324308769121"
"RETCALL","numeric","71047","0","0.034033808605571","0.181317321877697","0.0328759712129005","0","0","0","0","0","0","0","0","0","1","1","TRUE","FALSE","TRUE","0","0.577985774238663","-0.509918157027521"
"CALIBRAT","numeric","71047","0","0.563007586527228","0.49601764787988","0.246033507008289","0","0","0","0","0","1","1","1","1","1","1","FALSE","FALSE","FALSE","1","2.05106053016687","-0.925045357112411"
"CHURNDEP","numeric","71047","31047","0.5","0.50000625011719","0.250006250156254","0","0","0","0","0","0.5","1","1","1","1","1","FALSE","FALSE","FALSE","1","2.00001875035157","-1.00001875035157"
